Name,Sample,Habitat,Lat,Lon,MAT,DOC,SOC,MBC,TN,AN,NO3,NH4,TP,AP,TK,AK,pH,MBN,Clay,Silt,Sand,Cellulose,Chitin,Hemicellulose,Pectin,Xylan,Polymer,Genome size,,CAZyme ratio
18,M18,Maize,27.38,112.01,17.8,45.17,10.78306265,112.71,1.19,86.38,22.96,3.02,0.69,29.4,12.13,132.3,4.98,6.96,5.94,76.39,17.67,1.3615952,1.764957,1.783337,0.05563614,2.136527,7.10205234,4.81278693,M18,9.112901589
19,M19,Maize,28.64,120.16,16.7,30.95,7.11136891,519.41,0.7,82.18,46.2,1.79,0.14,29.94,19.63,252.5,6.99,15.51,5.47,66.96,27.57,1.8035327,1.966739,1.74672,0.05474641,2.993492,8.56523011,3.311640512,M19,10.00723064
20,M20,Maize,30.1,120.66,16.9,72.16,18.68329466,415.98,1.93,139.58,12.72,4,0.37,24,15.06,68.6,6.88,14.14,2.33,92.81,4.87,1.1567506,1.448264,1.433533,0.05039463,1.533547,5.62248923,3.516224955,M20,8.5275465
21,M21,Maize,29.22,117.07,17.6,47.08,23.35266821,229.23,2.04,149.38,31.65,3.79,1.43,112.03,10.18,352.8,6.99,20.18,2.93,71.65,25.42,1.5226742,1.71512,1.718136,0.08566551,2.380536,7.42213171,3.687575977,M21,10.26055585
22,M22,Maize,26.9,120.03,17.9,53.82,15.19141531,370.49,1.51,121.38,42.88,11.82,1.12,112.4,21.75,159,4.41,12.65,1.99,60.39,37.62,1.3223237,1.732779,2.011989,0.05928794,2.036566,7.16294564,4.07029712,M22,10.49675185
23,M23,Maize,33.53,119.03,14.5,27.92,8.665893271,77.2,0.94,103.18,25.58,2.68,0.41,18.96,13.24,280.4,7.58,8.99,3.27,77.59,19.14,1.2611794,1.624511,1.666434,0.05153018,2.044613,6.64826758,3.135004809,M23,9.508629138
24,M24,Maize,31.03,118,16.2,21.55,8.352668213,265.88,0.91,76.58,8.58,3.14,0.63,38.78,12.36,111.5,6.52,9.23,4.01,73.51,22.48,1.843368,1.884258,1.926816,0.05090333,2.73209,8.43743533,4.474509695,M24,10.24825802
25,M25,Maize,30.59,103.88,16.6,28.24,24.01392111,615.52,2.46,219.38,18.51,4.03,0.18,21.31,17.9,62,6.73,24.04,2.34,91.86,5.8,1.9784545,1.986054,2.103975,0.05031302,2.869938,8.98873452,5.302938124,M25,10.16113269
26,M26,Maize,29.39,105.82,17.9,61.36,10.45243619,109.62,0.96,72.38,10.92,2.71,0.25,13.06,17.61,161,8.2,6.16,5.79,67.87,26.33,1.7145272,1.719811,1.976065,0.07661216,2.430455,7.91747036,2.640750587,M26,9.803714399
27,M27,Maize,32.43,104.7,12.5,52.69,3.857308585,283.03,0.71,56.98,2.25,2.27,0.16,10.56,17.74,113.6,7.28,9.66,3.21,80.67,16.12,1.3973175,1.812225,1.64358,0.073219,2.287599,7.2139405,4.407486357,M27,10.20536501
28,M28,Maize,25.44,102.83,14.2,26.85,7.819025522,418.05,0.76,80.78,23.01,10.24,0.14,4.94,8.29,134.4,8.07,16.55,3.66,55.6,40.74,1.5492824,1.884455,1.898407,0.06465268,2.574538,7.97133508,4.7001494,M28,10.40159524
29,M29,Maize,26.66,106.57,15.7,34.07,12.15777262,458.08,1.55,107.38,71.52,3.49,1.38,22.46,16.56,195,7.32,23.21,4.07,62.36,33.57,2.2654583,2.216633,2.214987,0.05376315,3.622703,10.37354445,5.763648138,M29,11.19014052
30,M30,Maize,25.27,99.91,16.6,24.89,10.64965197,535.14,1.23,156.38,100.25,17.27,0.46,10.06,15.27,124,7.35,19.15,6.52,78.09,15.39,2.1111266,2.149775,2.298641,0.05275772,3.188979,9.80127932,5.315026176,M30,11.06541957
31,M31,Maize,20.03,110.43,24.1,49.94,5.081206497,176.51,0.55,58.38,8.8,5.75,1.13,125.65,16.97,167,6.4,7.84,3.9,71.45,24.65,1.3437458,1.72121,1.900653,0.05966861,2.058239,7.08351641,4.279194906,M31,10.21579052
32,M32,Maize,25.11,117.02,19.2,34.73,59.14153132,346.32,3.4,229.18,62.11,4.27,1.19,96.15,14,257.1,5.98,21.7,6.85,76.64,16.51,1.5383165,1.703585,1.875766,0.045873,2.215729,7.3792695,6.855747646,M32,9.4240739
33,M33,Maize,23.39,113.43,22,68.44,6.073085847,142.93,0.59,52.78,10.28,5.01,0.61,106.15,5.16,128.2,7.24,6.71,1.68,38.08,60.24,1.6420462,1.901986,1.852453,0.07758734,2.454302,7.92837454,3.736716305,M33,10.35418403
34,M34,Maize,21.7,109.19,22.8,42.6,5.040603248,163.88,0.52,72.38,4.38,4.34,0.66,79.71,15.31,140.7,5.65,5.29,2.45,66.51,31.04,1.359971,1.704837,1.868273,0.05667795,1.97893,6.96868895,3.794620301,M34,10.13845614
35,M35,Maize,18.3,109.45,25.7,93.8,10.2900232,240.85,0.88,59.78,2.73,3.7,1.02,83.84,26.36,57.7,5.98,8,1.96,32.87,65.17,1.2554839,1.611511,1.569265,0.05560671,1.913376,6.40524261,3.727791107,M35,9.474083329
36,M36,Maize,23.34,116.4,21.6,35,12.59860789,228.88,1.15,86.38,18.33,5.34,0.56,27.21,38.18,31.4,5.92,8.89,2.73,61.67,35.6,1.5232302,1.802013,1.659372,0.05816088,2.294593,7.33736908,3.816641346,M36,9.789223665
37,R1,Rice,48.14,126.99,0.7,30.05,31.35150812,262.12,2.82,229.18,24.66,3.97,0.92,25.63,16.31,327.1,5.89,22.25,2.66,92.56,4.78,1.7334998,2.019657,1.833773,0.07094815,2.7088,8.36667795,3.738416772,R1,10.35228123
38,R2,Rice,45.07,127.06,3.3,79.3,22.42459397,97.12,1.73,140.98,0.87,9.12,0.53,56.31,18.11,100.8,7.25,4.68,2.71,85.35,11.93,1.4034096,1.768917,1.766848,0.04827453,1.957187,6.94463613,3.537601843,R2,10.25902731
39,R3,Rice,43.13,126.24,3.8,109.81,18.52668213,187.48,1.78,147.98,1.3,9.41,0.1,40.75,16.08,92.8,6.61,8.86,2.94,89.44,7.62,1.384595,1.739465,1.644432,0.05894453,2.167715,6.99515153,3.322142683,R3,10.0289911
40,R4,Rice,42.89,129.39,5,28.01,39.11832947,271.16,2.95,175.98,15.47,6.23,0.09,19.88,17.26,278.1,6.8,27.1,6.71,62.42,30.87,1.4241742,1.766029,1.481595,0.06142711,2.248766,6.98199131,3.812841914,R4,9.495162609
41,R5,Rice,45.6,123.18,5.2,69.39,14.75058005,269.38,1.59,107.38,10.06,3.99,0.39,5.25,17.79,101.1,9.13,24.22,3.63,49.23,47.14,1.5557024,1.849595,1.694712,0.05877861,2.483718,7.64250601,4.159684687,R5,9.846060138
42,R6,Rice,41.1,121.28,9.4,136.81,38.225058,658.93,3.85,223.58,38.91,21.43,0.7,78.19,18.61,365.7,8.08,105.88,3.33,55.18,41.49,1.0263644,1.518542,1.178926,0.06588897,1.563647,5.35336837,3.200527579,R6,8.581485658
43,R7,Rice,39.55,115.9,12.3,20.35,21.19489559,231.53,1.99,128.38,1.8,1.89,0.54,23.31,14.67,56.9,8.06,21.86,3.72,78.97,17.31,1.4783,1.722564,1.625054,0.08250825,2.172935,7.08136125,4.44756602,R7,9.628028035
44,R8,Rice,38.31,106.22,8.9,27.53,10.62645012,619.7,1.01,76.58,1.39,5.53,0.44,11.06,17.44,157.85,8.44,25.64,4.09,76.07,19.84,1.738512,1.840263,1.68709,0.07439825,2.670678,8.01094125,3.611985911,R8,9.890590823
45,R9,Rice,37.55,118.77,12.5,83.22,6.670533643,457.94,0.66,58.38,0.98,9.49,0.54,27.88,16.09,126.45,8.38,15.48,1.42,61.87,36.71,1.2885542,1.707903,1.350022,0.06966388,1.970623,6.38676608,3.736186075,R9,9.609517943
46,R10,Rice,36.71,117.09,14.7,37.93,9.402552204,435.51,0.88,63.98,0.83,2.72,0.57,8.13,16.77,137.95,8.34,15.43,2.94,80.01,17.05,1.3628304,1.682878,1.534123,0.07212333,2.072043,6.72399773,4.17848978,R10,9.460677723
47,R11,Rice,34.87,114.33,14.9,51.6,14.09512761,329.06,1.11,93.38,11.13,3.44,0.11,8.56,16.3,90.2,8.19,19.7,2.39,60.8,36.81,1.6028837,1.79615,1.673441,0.05930925,2.327377,7.45916095,3.748557824,R11,9.741033335
48,R12,Rice,35.56,110.53,13.4,33.06,4.315545244,148.74,0.46,52.78,1.01,4.69,0.37,12.75,15.91,117.35,7.78,14.98,3.23,73.79,22.98,1.4437428,1.823922,1.783557,0.0647713,2.26856,7.3845531,3.630101063,R12,10.71918045
49,R13,Rice,27.47,109.95,16.7,20.76,21.19489559,774,2.38,164.78,6.41,5.31,0.82,23.63,13.08,65.5,5.07,21.45,7.14,84.03,8.82,1.5426376,1.853025,2.001244,0.05899688,2.252925,7.70882848,4.455806994,R13,10.07655061
50,R14,Rice,29.04,111.63,17.2,60.18,8.468677494,64.38,0.93,111.58,7.38,2.54,0.32,23.94,14.7,41.05,6.07,6.5,4.35,76.32,19.33,1.2756836,1.631855,1.47697,0.03986511,1.847519,6.27189271,3.385845354,R14,9.314712166
51,R15,Rice,32.49,114.35,15.5,45.66,15.94547564,238.24,1.55,128.38,15.83,3.05,0.75,54.31,15.62,202.4,5.6,15.04,4.69,90.83,4.49,1.3960418,1.782527,1.883964,0.06501618,2.343592,7.47114098,4.573524646,R15,10.35924449
52,R16,Rice,30.48,114.32,17.1,62.04,23.19025522,244.95,2.53,206.78,4.79,93.9,0.79,34.88,19.77,234.6,7.26,11.77,5.82,87.69,6.49,1.3816481,1.70592,1.702243,0.05956014,1.882394,6.73176524,3.071666651,R16,9.580358382
53,R17,Rice,32.3,112.24,15.9,230.31,14.07772622,477.26,1.44,124.18,1.4,6.87,0.14,23.06,15.82,162,6.52,53.72,4.31,94.21,1.47,1.5917785,1.886273,2.03743,0.0677599,2.288779,7.8720204,4.691656147,R17,10.52623957
54,R18,Rice,27.38,112.01,17.8,99.87,20.67285383,745.09,2.07,157.78,0.95,13.12,0.47,37.25,8.89,60.2,5.81,58.02,6.19,75.1,18.71,1.5569482,1.828316,1.651634,0.05759244,2.202179,7.29666964,3.659291806,R18,9.846843178
55,R19,Rice,28.64,120.16,16.7,57.68,19.16473318,673.21,2.14,154.98,15.18,7.91,0.57,42.81,14.08,42.95,5.2,23.82,5.13,77.97,16.9,1.3164113,1.732545,1.52736,0.05302533,2.036864,6.66620563,3.178615698,R19,9.703634512
56,R20,Rice,30.1,120.66,16.9,94.97,23.08584687,801.4,2.41,159.18,1.31,16.17,0.13,23.13,15.77,179.65,8,24.85,2.52,90.25,7.23,1.1605974,1.53119,1.470164,0.04438231,1.570024,5.77635771,3.696516197,R20,8.964116899
57,R21,Rice,29.22,117.07,17.6,82.4,22.11136891,1134.03,2.82,156.38,0.34,89.03,0.09,10,16.14,138.55,5.4,47.98,3.38,92.3,4.32,1.1436267,1.544204,1.464909,0.05468627,1.660412,5.86783797,3.218147773,R21,8.92479953
58,R22,Rice,26.9,120.03,17.9,79.52,17.05916473,195,1.56,107.38,0.91,19.79,0.16,8.44,22.89,68.1,6.79,18.64,1.94,65.05,33.01,1.0307708,1.619783,1.352922,0.06544576,1.690306,5.75922756,3.777061709,R22,9.230673769
59,R23,Rice,33.53,119.03,14.5,29.09,10.97447796,330.06,1.36,101.78,46.29,3.03,0.27,36.94,13.54,184.85,7.84,14.55,2.79,78.82,18.39,0.9994201,1.500267,1.27969,0.08300076,1.669111,5.53148886,4.044557367,R23,9.151686722
60,R24,Rice,31.03,118,16.2,118.9,21.3225058,741.49,2.66,163.38,2.22,23.08,0.28,55.19,14.24,103.1,7.72,39.15,5.03,42.59,52.39,1.2336004,1.550855,1.354172,0.07686453,1.734727,5.95021893,3.331954724,R24,9.142357637
61,R25,Rice,30.59,103.88,16.6,127.02,25.82366589,542.45,2.95,187.18,22.57,5.38,0.12,34.75,18.32,77.05,7.2,33.68,3.15,87,9.85,1.8766424,1.924421,1.997564,0.0610506,2.761139,8.620817,5.025060358,R25,10.15180068
62,R26,Rice,29.39,105.82,17.9,77.85,17.38979118,389.4,1.63,112.98,12.42,10.96,0.06,7.94,19.52,113.85,6.75,13.51,5.96,75.82,18.21,1.5158373,1.771894,1.609608,0.07276619,2.272506,7.24261149,4.528580011,R26,9.447602101
63,R27,Rice,32.43,104.7,12.5,59.13,12.40139211,254.93,1.38,111.58,15.39,6.67,0.09,9.81,18.01,123.25,7.68,15,1.99,71.65,26.36,1.5230028,1.718384,1.639503,0.05218257,2.230501,7.16357337,3.207665326,R27,9.169569053
64,R28,Rice,25.44,102.83,14.2,34.3,28.02204176,877.82,2.94,160.58,3.06,13.84,0.09,37.94,19.25,185.85,7.8,29.97,11.31,77.57,11.12,1.3336065,1.604078,1.449225,0.08437031,1.958919,6.43019881,4.00915873,R28,9.037345165
65,R29,Rice,26.66,106.57,15.7,60.51,35.26102088,473.42,3.15,202.58,4.92,13.87,0.66,4.63,12.09,146.9,7.49,73.91,6.29,60.29,33.43,1.8807755,1.956745,2.01855,0.05622583,2.913871,8.82616733,4.497281341,R29,10.15541506
66,R30,Rice,25.27,99.91,16.6,51.22,5.980278422,179.82,0.79,72.38,0.97,22.59,0.42,10.56,14.63,63.55,8.13,6.43,3.8,76.9,19.3,0.8920205,1.511687,1.17187,0.11493822,1.571655,5.26217072,3.041905223,R30,8.98267178
67,R31,Rice,20.03,110.43,24.1,35.83,9.350348028,97.77,0.89,61.18,0.28,9.65,0.59,76.81,19.17,67.2,7.32,8.39,1.79,47.28,50.93,1.6914508,1.772388,2.205882,0.03841089,2.391078,8.09920969,3.256947589,R31,10.5506475
68,R32,Rice,25.11,117.02,19.2,46.94,60.77146172,331.09,2.96,138.18,1.56,26.39,0.47,72.88,13.76,192.2,6.42,33.39,4.91,95.09,0,1.3342587,1.687653,1.577173,0.05240719,1.866829,6.51832089,3.453931765,R32,9.887253727
69,R33,Rice,23.39,113.43,22,67.4,18.12645012,415.09,1.74,129.78,0.52,60.97,0.44,39.38,8.36,72.8,6.05,40.59,9.35,65.6,25.05,1.2099157,1.63493,1.600688,0.04901434,1.862545,6.35709304,3.919176467,R33,9.957968512
70,R34,Rice,21.7,109.19,22.8,46.46,12.6450116,237.6,1.42,100.38,0.72,7.51,0.42,18.31,17.71,42.8,5.46,22.07,1.67,86.48,11.85,1.4615023,1.739117,1.862083,0.06185987,2.080604,7.20516617,4.26226746,R34,9.849046844
71,R35,Rice,18.3,109.45,25.7,31.5,6.856148492,131.04,0.7,51.38,8.14,2.06,0.69,40.63,12.3,47.2,6.26,4.71,3.19,45.43,51.38,1.0950663,1.6736,1.524044,0.05948715,1.787966,6.14016345,3.789187382,R35,10.10192413
72,R36,Rice,23.34,116.4,21.6,50.7,29.99419954,219.21,2.91,140.98,0.51,9.31,0.52,15.75,27.69,43.3,5.38,14.75,3.02,52.7,44.28,1.3518277,1.735258,1.526457,0.0600035,2.059492,6.7330382,5.769491914,R36,9.467637141
